downtime_id,date,equipment_id,shift,downtime_type,start_time,end_time,duration_min,cause,line
DT-00025,2024-01-08,EQ-C04,야간,속도저하,2024-01-08 02:58,2024-01-08 03:43,45.0,냉각 부족,C라인
DT-00026,2024-01-09,EQ-A02,야간,계획정지,2024-01-09 23:37,2024-01-10 01:23,106.0,자재 대기,A라인
DT-00027,2024-01-09,EQ-A04,야간,설비고장,2024-01-09 00:54,2024-01-09 03:24,150.0,센서 오작동,A라인
DT-00028,2024-01-10,EQ-A03,주간,셋업/조정,2024-01-10 08:45,2024-01-10 09:35,50.0,프로그램 변경,A라인
DT-00029,2024-01-10,EQ-A03,주간,소정지,2024-01-10 12:55,2024-01-10 13:02,7.0,센서 오감지,A라인
DT-00030,2024-01-10,EQ-A03,야간,설비고장,2024-01-10 03:45,2024-01-10 05:37,112.0,전기 접촉 불량,A라인
DT-00031,2024-01-11,EQ-B04,야간,셋업/조정,2024-01-11 01:42,2024-01-11 02:24,42.0,원점 재설정,B라인
DT-00032,2024-01-11,EQ-C01,주간,설비고장,2024-01-11 14:53,2024-01-11 15:35,42.0,베어링 마모,C라인
DT-00033,2024-01-12,EQ-A03,주간,계획정지,2024-01-12 12:55,2024-01-12 13:33,38.0,자재 대기,A라인
DT-00034,2024-01-12,EQ-B04,주간,속도저하,2024-01-12 09:41,2024-01-12 10:53,72.0,소재 경도 편차,B라인
DT-00035,2024-01-12,EQ-C03,야간,설비고장,2024-01-12 04:08,2024-01-12 04:47,39.0,스핀들 이상,C라인
DT-00036,2024-01-13,EQ-A03,야간,설비고장,2024-01-13 05:57,2024-01-13 06:38,41.0,스핀들 이상,A라인
DT-00037,2024-01-13,EQ-C01,야간,속도저하,2024-01-13 00:29,2024-01-13 02:24,115.0,프로그램 미최적화,C라인
DT-00038,2024-01-15,EQ-A01,야간,소정지,2024-01-15 04:22,2024-01-15 04:35,13.0,,A라인
DT-00039,2024-01-16,EQ-C03,주간,설비고장,2024-01-16 15:54,2024-01-16 16:35,41.0,전기 접촉 불량,C라인
DT-00040,2024-01-16,EQ-C04,야간,속도저하,2024-01-16 04:59,2024-01-16 05:48,49.0,프로그램 미최적화,C라인
DT-00041,2024-01-17,EQ-A04,주간,소정지,2024-01-17 08:36,2024-01-17 08:47,11.0,센서 오감지,A라인
DT-00042,2024-01-17,EQ-A04,주간,소정지,2024-01-17 15:44,2024-01-17 15:53,9.0,센서 오감지,A라인
DT-00043,2024-01-17,EQ-C01,야간,설비고장,2024-01-17 05:33,2024-01-17 08:50,,스핀들 이상,C라인
DT-00044,2024-01-18,EQ-A01,주간,설비고장,2024-01-18 11:30,2024-01-18 15:23,233.0,센서 오작동,A라인
DT-00045,2024-01-18,EQ-A02,야간,소정지,2024-01-18 22:57,2024-01-18 23:10,13.0,칩 막힘,A라인
DT-00046,2024-01-18,EQ-B02,야간,셋업/조정,2024-01-18 05:32,2024-01-18 05:54,22.0,금형 교체,B라인
DT-00047,2024-01-19,EQ-A03,야간,계획정지,2024-01-19 04:22,2024-01-19 06:12,110.0,금형 예열,A라인
DT-00048,2024-01-19,EQ-C01,야간,계획정지,2024-01-19 00:02,2024-01-19 01:15,73.0,,C라인
DT-00049,2024-01-19,EQ-C02,야간,속도저하,2024-01-19 02:03,2024-01-19 02:26,23.0,,C라인
DT-00050,2024-01-20,EQ-C04,주간,소정지,2024-01-20 08:42,2024-01-20 08:52,10.0,냉각수 부족,C라인
DT-00051,2024-01-22,EQ-A01,주간,계획정지,2024-01-22 12:31,2024-01-22 14:22,111.0,금형 예열,A라인
DT-00052,2024-01-22,EQ-A03,주간,설비고장,2024-01-22 12:16,2024-01-22 15:41,205.0,센서 오작동,A라인
DT-00053,2024-01-22,EQ-B02,야간,설비고장,2024-01-22 02:00,2024-01-22 04:55,175.0,유압 누유,B라인
DT-00054,2024-01-23,EQ-A04,주간,속도저하,2024-01-23 10:42,2024-01-23 12:25,103.0,프로그램 미최적화,A라인
DT-00055,2024-01-23,EQ-B03,야간,셋업/조정,2024-01-23 01:31,2024-01-23 01:53,22.0,지그 교체,B라인
DT-00056,2024-01-24,EQ-A01,주간,설비고장,2024-01-24 13:05,2024-01-24 16:02,177.0,센서 오작동,A라인
DT-00057,2024-01-24,EQ-A02,주간,계획정지,2024-01-24 15:48,2024-01-24 17:28,100.0,금형 예열,A라인
DT-00058,2024-01-24,EQ-A03,주간,계획정지,2024-01-24 15:46,2024-01-24 17:42,116.0,자재 대기,A라인
DT-00059,2024-01-25,EQ-A01,야간,소정지,2024-01-25 22:41,2024-01-25 22:50,9.0,소재 걸림,A라인
DT-00060,2024-01-25,EQ-B01,주간,셋업/조정,2024-01-25 10:29,2024-01-25 11:03,34.0,금형 교체,B라인
DT-00061,2024-01-25,EQ-B01,야간,셋업/조정,2024-01-25 01:24,2024-01-25 01:57,33.0,프로그램 변경,B라인
DT-00062,2024-01-26,EQ-A02,야간,속도저하,2024-01-26 02:09,2024-01-26 03:45,96.0,절삭유 노후,A라인
DT-00063,2024-01-26,EQ-A04,주간,소정지,2024-01-26 12:59,2024-01-26 13:15,16.0,공구 파손,A라인
DT-00064,2024-01-26,EQ-C01,야간,속도저하,2024-01-26 22:06,2024-01-26 23:43,97.0,절삭유 노후,C라인
DT-00065,2024-01-26,EQ-C02,야간,계획정지,2024-01-26 02:21,2024-01-26 03:17,56.0,교육/미팅,C라인
DT-00066,2024-01-26,EQ-C03,야간,셋업/조정,2024-01-26 04:29,2024-01-26 05:17,48.0,금형 교체,C라인
DT-00067,2024-01-27,EQ-A02,주간,속도저하,2024-01-27 13:43,2024-01-27 14:11,28.0,소재 경도 편차,A라인
DT-00068,2024-01-27,EQ-A04,야간,속도저하,2024-01-27 22:43,2024-01-27 23:29,46.0,소재 경도 편차,A라인
DT-00069,2024-01-27,EQ-B01,주간,설비고장,2024-01-27 14:06,2024-01-27 16:35,149.0,모터 과열,B라인
DT-00070,2024-01-27,EQ-B02,야간,소정지,2024-01-27 01:46,2024-01-27 01:55,9.0,공구 파손,B라인
DT-00071,2024-01-27,EQ-C02,주간,셋업/조정,2024-01-27 08:39,2024-01-27 09:25,46.0,지그 교체,C라인
DT-00072,2024-01-29,EQ-A03,주간,설비고장,2024-01-29 09:45,2024-01-29 10:58,73.0,센서 오작동,A라인
DT-00073,2024-01-29,EQ-C03,주간,계획정지,2024-01-29 14:42,2024-01-29 15:35,53.0,예방정비,C라인
DT-00074,2024-01-30,EQ-C03,주간,속도저하,2024-01-30 09:44,2024-01-30 10:59,75.0,프로그램 미최적화,C라인
DT-00075,2024-01-30,EQ-C03,야간,설비고장,2024-01-30 23:40,2024-01-31 02:35,175.0,유압 누유,C라인
DT-00076,2024-01-30,EQ-C03,야간,소정지,2024-01-30 03:16,2024-01-30 03:34,18.0,센서 오감지,C라인
DT-00077,2024-01-31,EQ-A02,야간,설비고장,2024-01-31 22:24,2024-02-01 01:44,200.0,모터 과열,A라인
DT-00078,2024-01-31,EQ-A02,야간,셋업/조정,2024-01-31 02:11,2024-01-31 02:33,22.0,금형 교체,A라인
DT-00079,2024-01-31,EQ-A03,주간,셋업/조정,2024-01-31 14:11,2024-01-31 14:44,33.0,원점 재설정,A라인
DT-00080,2024-01-31,EQ-A03,주간,소정지,2024-01-31 14:13,2024-01-31 14:24,11.0,,A라인
DT-00081,2024-01-31,EQ-B03,야간,소정지,2024-01-31 02:06,2024-01-31 02:15,9.0,칩 막힘,B라인
DT-00082,2024-01-31,EQ-B04,야간,설비고장,2024-01-31 05:01,2024-01-31 06:57,116.0,모터 과열,B라인
DT-00083,2024-01-31,EQ-C01,주간,초기불량,2024-01-31 08:42,2024-01-31 09:03,21.0,첫 로트 조건 미달,C라인
DT-00084,2024-01-31,EQ-C03,야간,셋업/조정,2024-01-31 04:36,2024-01-31 05:07,31.0,지그 교체,C라인
DT-00085,2024-02-01,EQ-B04,야간,설비고장,2024-02-01 05:27,2024-02-01 07:35,128.0,스핀들 이상,B라인
DT-00086,2024-02-02,EQ-A04,주간,셋업/조정,2024-02-02 08:24,2024-02-02 08:50,26.0,금형 교체,A라인
DT-00087,2024-02-03,EQ-A01,주간,계획정지,2024-02-03 13:21,2024-02-03 13:52,31.0,자재 대기,A라인
DT-00088,2024-02-03,EQ-A02,주간,속도저하,2024-02-03 09:23,2024-02-03 11:03,100.0,절삭유 노후,A라인
DT-00089,2024-02-03,EQ-A04,주간,소정지,2024-02-03 15:48,2024-02-03 15:59,11.0,센서 오감지,A라인
DT-00090,2024-02-03,EQ-A04,주간,속도저하,2024-02-03 08:24,2024-02-03 09:15,51.0,소재 경도 편차,A라인
DT-00091,2024-02-03,EQ-B04,야간,속도저하,2024-02-03 23:40,2024-02-04 01:21,101.0,냉각 부족,B라인
DT-00092,2024-02-05,EQ-A02,주간,속도저하,2024-02-05 15:47,2024-02-05 17:17,90.0,절삭유 노후,A라인
DT-00093,2024-02-05,EQ-A03,주간,설비고장,2024-02-05 08:46,2024-02-05 10:15,89.0,모터 과열,A라인
DT-00094,2024-02-05,EQ-A04,야간,계획정지,2024-02-05 04:04,2024-02-05 05:58,114.0,점검,A라인
DT-00095,2024-02-05,EQ-C03,야간,속도저하,2024-02-05 05:01,2024-02-05 06:36,95.0,냉각 부족,C라인
DT-00096,2024-02-05,EQ-C04,야간,설비고장,2024-02-05 22:25,2024-02-06 00:33,128.0,모터 과열,C라인
DT-00097,2024-02-06,EQ-A03,야간,설비고장,2024-02-06 00:47,2024-02-06 02:41,114.0,스핀들 이상,A라인
DT-00098,2024-02-06,EQ-A04,주간,소정지,2024-02-06 10:31,2024-02-06 10:50,19.0,칩 막힘,A라인
DT-00099,2024-02-06,EQ-C04,주간,속도저하,2024-02-06 11:44,2024-02-06 12:22,38.0,절삭유 노후,C라인
DT-00100,2024-02-07,EQ-A01,주간,소정지,2024-02-07 08:57,2024-02-07 09:12,15.0,칩 막힘,A라인
DT-00101,2024-02-07,EQ-A03,야간,셋업/조정,2024-02-07 00:53,2024-02-07 01:27,34.0,금형 교체,A라인
DT-00102,2024-02-07,EQ-A04,주간,소정지,2024-02-07 15:38,2024-02-07 15:49,11.0,칩 막힘,A라인
DT-00103,2024-02-07,EQ-B04,주간,속도저하,2024-02-07 11:27,2024-02-07 12:50,83.0,소재 경도 편차,B라인
DT-00104,2024-02-08,EQ-A01,야간,셋업/조정,2024-02-08 23:43,2024-02-09 00:20,37.0,원점 재설정,A라인
DT-00105,2024-02-08,EQ-B04,야간,소정지,2024-02-08 01:48,2024-02-08 02:08,20.0,소재 걸림,B라인
DT-00106,2024-02-08,EQ-C01,야간,설비고장,2024-02-08 23:07,2024-02-09 00:07,60.0,베어링 마모,C라인
DT-00107,2024-02-08,EQ-C03,주간,셋업/조정,2024-02-08 13:35,2024-02-08 14:17,42.0,원점 재설정,C라인
DT-00108,2024-02-09,EQ-A04,주간,설비고장,2024-02-09 10:06,2024-02-09 12:18,132.0,베어링 마모,A라인
DT-00109,2024-02-09,EQ-C01,야간,속도저하,2024-02-09 00:01,2024-02-09 01:36,95.0,프로그램 미최적화,C라인
DT-00110,2024-02-09,EQ-C01,주간,초기불량,2024-02-09 08:11,2024-02-09 08:46,35.0,워밍업 미흡,C라인
DT-00111,2024-02-10,EQ-A02,야간,계획정지,2024-02-10 04:44,2024-02-10 06:11,87.0,금형 예열,A라인
DT-00112,2024-02-10,EQ-C03,주간,초기불량,2024-02-10 11:09,2024-02-10 11:21,12.0,측정 오차,C라인
DT-00113,2024-02-12,EQ-A01,야간,소정지,2024-02-12 04:15,2024-02-12 04:32,17.0,냉각수 부족,A라인
DT-00114,2024-02-12,EQ-A01,주간,계획정지,2024-02-12 10:45,2024-02-12 11:53,68.0,금형 예열,A라인
DT-00115,2024-02-12,EQ-A02,야간,소정지,2024-02-12 03:26,2024-02-12 03:37,11.0,칩 막힘,A라인
DT-00116,2024-02-12,EQ-B03,주간,설비고장,2024-02-12 09:33,2024-02-12 13:32,239.0,베어링 마모,B라인
DT-00117,2024-02-13,EQ-A01,야간,계획정지,2024-02-13 01:29,2024-02-13 03:07,98.0,금형 예열,A라인
DT-00118,2024-02-13,EQ-A02,야간,속도저하,2024-02-13 22:12,2024-02-13 23:42,90.0,소재 경도 편차,A라인
DT-00119,2024-02-13,EQ-A03,야간,설비고장,2024-02-13 05:11,2024-02-13 08:49,218.0,베어링 마모,A라인
DT-00120,2024-02-13,EQ-A03,주간,설비고장,2024-02-13 13:18,2024-02-13 14:52,94.0,모터 과열,A라인
DT-00121,2024-02-13,EQ-B01,야간,설비고장,2024-02-13 05:02,2024-02-13 07:26,144.0,유압 누유,B라인
DT-00122,2024-02-13,EQ-B04,주간,설비고장,2024-02-13 10:50,2024-02-13 12:49,119.0,모터 과열,B라인
DT-00123,2024-02-14,EQ-A02,주간,설비고장,2024-02-14 09:57,2024-02-14 13:02,185.0,센서 오작동,A라인
DT-00124,2024-02-15,EQ-A01,야간,설비고장,2024-02-15 04:12,2024-02-15 06:18,126.0,전기 접촉 불량,A라인
DT-00125,2024-02-15,EQ-B01,주간,속도저하,2024-02-15 09:20,2024-02-15 10:02,42.0,냉각 부족,B라인
DT-00126,2024-02-16,EQ-A04,야간,설비고장,2024-02-16 01:24,2024-02-16 02:23,59.0,베어링 마모,A라인
DT-00127,2024-02-16,EQ-B02,야간,초기불량,2024-02-16 05:03,2024-02-16 05:44,41.0,워밍업 미흡,B라인
DT-00128,2024-02-17,EQ-A04,주간,초기불량,2024-02-17 15:11,2024-02-17 15:42,31.0,첫 로트 조건 미달,A라인
DT-00129,2024-02-17,EQ-A04,야간,셋업/조정,2024-02-17 01:40,2024-02-17 02:14,34.0,지그 교체,A라인
DT-00130,2024-02-17,EQ-C02,주간,셋업/조정,2024-02-17 13:08,2024-02-17 14:04,56.0,프로그램 변경,C라인
DT-00131,2024-02-19,EQ-B03,주간,설비고장,2024-02-19 12:08,2024-02-19 13:28,80.0,센서 오작동,B라인
DT-00132,2024-02-19,EQ-B03,야간,설비고장,2024-02-19 04:10,2024-02-19 07:23,193.0,전기 접촉 불량,B라인
DT-00133,2024-02-19,EQ-C01,야간,속도저하,2024-02-19 00:50,2024-02-19 02:12,82.0,소재 경도 편차,C라인
DT-00134,2024-02-19,EQ-C02,주간,속도저하,2024-02-19 11:05,2024-02-19 12:52,107.0,프로그램 미최적화,C라인
DT-00135,2024-02-20,EQ-A04,야간,셋업/조정,2024-02-20 01:37,2024-02-20 02:32,55.0,공구 교체,A라인
DT-00136,2024-02-20,EQ-B03,야간,소정지,2024-02-20 22:46,2024-02-20 22:55,9.0,공구 파손,B라인
DT-00137,2024-02-20,EQ-B03,주간,셋업/조정,2024-02-20 13:27,2024-02-20 14:27,60.0,지그 교체,B라인
DT-00138,2024-02-20,EQ-C04,주간,소정지,2024-02-20 08:26,2024-02-20 08:34,8.0,냉각수 부족,C라인
DT-00139,2024-02-21,EQ-A01,야간,계획정지,2024-02-21 22:27,2024-02-21 23:15,48.0,예방정비,A라인
DT-00140,2024-02-21,EQ-A03,주간,소정지,2024-02-21 15:31,2024-02-21 15:42,11.0,공구 파손,A라인
DT-00141,2024-02-21,EQ-A03,주간,설비고장,2024-02-21 14:13,2024-02-21 15:57,104.0,센서 오작동,A라인
DT-00142,2024-02-21,EQ-C03,주간,설비고장,2024-02-21 09:01,2024-02-21 10:33,92.0,유압 누유,C라인
DT-00143,2024-02-22,EQ-A03,주간,소정지,2024-02-22 15:54,2024-02-22 16:10,16.0,센서 오감지,A라인
DT-00144,2024-02-22,EQ-A04,주간,소정지,2024-02-22 15:29,2024-02-22 15:39,10.0,냉각수 부족,A라인
DT-00145,2024-02-22,EQ-C01,주간,속도저하,2024-02-22 13:40,2024-02-22 14:09,29.0,절삭유 노후,C라인
DT-00146,2024-02-24,EQ-A04,주간,소정지,2024-02-24 14:57,2024-02-24 15:05,8.0,칩 막힘,A라인
DT-00147,2024-02-26,EQ-C02,주간,속도저하,2024-02-26 12:27,2024-02-26 13:13,46.0,프로그램 미최적화,C라인
DT-00148,2024-02-26,EQ-C03,주간,속도저하,2024-02-26 09:39,2024-02-26 11:17,98.0,프로그램 미최적화,C라인
DT-00149,2024-02-26,EQ-C04,야간,초기불량,2024-02-26 22:07,2024-02-26 22:22,15.0,워밍업 미흡,C라인
DT-00150,2024-02-27,EQ-A01,주간,셋업/조정,2024-02-27 13:23,2024-02-27 14:23,60.0,원점 재설정,A라인
DT-00151,2024-02-27,EQ-A03,주간,설비고장,2024-02-27 11:08,2024-02-27 13:25,137.0,센서 오작동,A라인
DT-00152,2024-02-27,EQ-A03,주간,계획정지,2024-02-27 15:47,2024-02-27 16:45,58.0,점검,A라인
DT-00153,2024-02-27,EQ-C03,주간,계획정지,2024-02-27 11:20,2024-02-27 13:00,100.0,금형 예열,C라인
DT-00154,2024-02-28,EQ-A04,야간,셋업/조정,2024-02-28 02:03,2024-02-28 02:24,21.0,프로그램 변경,A라인
DT-00155,2024-02-28,EQ-A04,야간,설비고장,2024-02-28 05:32,2024-02-28 06:36,64.0,유압 누유,A라인
DT-00156,2024-02-28,EQ-B01,야간,소정지,2024-02-28 02:28,2024-02-28 02:35,7.0,칩 막힘,B라인
DT-00157,2024-02-29,EQ-C01,주간,소정지,2024-02-29 15:05,2024-02-29 15:17,12.0,칩 막힘,C라인
DT-00158,2024-02-29,EQ-C03,야간,설비고장,2024-02-29 23:06,2024-03-01 01:11,125.0,베어링 마모,C라인
DT-00159,2024-02-29,EQ-C04,주간,설비고장,2024-02-29 15:09,2024-02-29 18:05,176.0,모터 과열,C라인
DT-00160,2024-03-01,EQ-A01,야간,초기불량,2024-03-01 04:43,2024-03-01 05:23,40.0,워밍업 미흡,A라인
DT-00161,2024-03-01,EQ-A01,야간,소정지,2024-03-01 03:26,2024-03-01 03:40,14.0,소재 걸림,A라인
DT-00162,2024-03-01,EQ-A03,야간,셋업/조정,2024-03-01 01:04,2024-03-01 02:03,59.0,금형 교체,A라인
DT-00163,2024-03-01,EQ-A03,야간,설비고장,2024-03-01 04:37,2024-03-01 06:29,112.0,베어링 마모,A라인
DT-00164,2024-03-01,EQ-A04,야간,셋업/조정,2024-03-01 05:29,2024-03-01 05:47,18.0,프로그램 변경,A라인
DT-00165,2024-03-02,EQ-A01,야간,셋업/조정,2024-03-02 00:50,2024-03-02 01:30,40.0,지그 교체,A라인
DT-00166,2024-03-02,EQ-A04,야간,셋업/조정,2024-03-02 02:49,2024-03-02 03:09,20.0,원점 재설정,A라인
DT-00167,2024-03-02,EQ-B03,야간,초기불량,2024-03-02 02:29,2024-03-02 03:12,43.0,첫 로트 조건 미달,B라인
DT-00168,2024-03-04,EQ-B01,주간,계획정지,2024-03-04 12:11,2024-03-04 14:01,110.0,금형 예열,B라인
DT-00169,2024-03-04,EQ-B02,주간,계획정지,2024-03-04 11:07,2024-03-04 12:37,90.0,점검,B라인
DT-00170,2024-03-05,EQ-A02,주간,설비고장,2024-03-05 15:16,2024-03-05 16:08,52.0,,A라인
DT-00171,2024-03-05,EQ-C02,주간,셋업/조정,2024-03-05 13:22,2024-03-05 13:43,21.0,지그 교체,C라인
DT-00172,2024-03-07,EQ-A03,주간,설비고장,2024-03-07 12:07,2024-03-07 15:06,179.0,,A라인
DT-00173,2024-03-07,EQ-B01,야간,계획정지,2024-03-07 00:29,2024-03-07 01:02,33.0,자재 대기,B라인
DT-00174,2024-03-08,EQ-A02,주간,계획정지,2024-03-08 13:41,2024-03-08 14:14,33.0,점검,A라인
DT-00175,2024-03-08,EQ-A03,야간,속도저하,2024-03-08 00:51,2024-03-08 02:50,119.0,,A라인
DT-00176,2024-03-08,EQ-C03,야간,소정지,2024-03-08 23:46,2024-03-09 00:04,18.0,공구 파손,C라인
DT-00177,2024-03-09,EQ-A01,주간,소정지,2024-03-09 09:19,2024-03-09 09:35,16.0,칩 막힘,A라인
DT-00178,2024-03-09,EQ-A04,주간,설비고장,2024-03-09 15:22,2024-03-09 17:42,140.0,센서 오작동,A라인
DT-00179,2024-03-09,EQ-C01,주간,설비고장,2024-03-09 11:50,2024-03-09 13:22,92.0,모터 과열,C라인
DT-00180,2024-03-09,EQ-C04,주간,계획정지,2024-03-09 08:05,2024-03-09 09:53,108.0,교육/미팅,C라인
DT-00181,2024-03-11,EQ-A01,주간,소정지,2024-03-11 14:12,2024-03-11 14:25,13.0,공구 파손,A라인
DT-00182,2024-03-11,EQ-A03,주간,소정지,2024-03-11 13:25,2024-03-11 13:38,13.0,냉각수 부족,A라인
DT-00183,2024-03-11,EQ-C01,야간,설비고장,2024-03-11 04:23,2024-03-11 06:41,138.0,전기 접촉 불량,C라인
DT-00184,2024-03-12,EQ-C02,야간,설비고장,2024-03-12 02:28,2024-03-12 03:11,43.0,유압 누유,C라인
DT-00185,2024-03-13,EQ-A01,주간,초기불량,2024-03-13 15:47,2024-03-13 16:21,34.0,워밍업 미흡,A라인
DT-00186,2024-03-13,EQ-A03,야간,계획정지,2024-03-13 00:51,2024-03-13 02:22,91.0,자재 대기,A라인
DT-00187,2024-03-13,EQ-A04,야간,속도저하,2024-03-13 00:53,2024-03-13 01:16,23.0,절삭유 노후,A라인
DT-00188,2024-03-13,EQ-C01,주간,소정지,2024-03-13 11:19,2024-03-13 11:34,15.0,칩 막힘,C라인
DT-00189,2024-03-14,EQ-C02,야간,소정지,2024-03-14 23:59,2024-03-15 00:11,12.0,냉각수 부족,C라인
DT-00190,2024-03-14,EQ-C03,주간,계획정지,2024-03-14 08:26,2024-03-14 09:57,91.0,자재 대기,C라인
DT-00191,2024-03-15,EQ-A03,야간,소정지,2024-03-15 00:35,2024-03-15 00:54,19.0,센서 오감지,A라인
DT-00192,2024-03-15,EQ-C02,주간,소정지,2024-03-15 11:11,2024-03-15 11:21,10.0,냉각수 부족,C라인
DT-00193,2024-03-15,EQ-C04,야간,초기불량,2024-03-15 22:52,2024-03-15 23:16,24.0,소재 불량,C라인
DT-00194,2024-03-16,EQ-A01,야간,초기불량,2024-03-16 05:14,2024-03-16 05:25,11.0,소재 불량,A라인
DT-00195,2024-03-16,EQ-A04,주간,설비고장,2024-03-16 12:19,2024-03-16 14:28,129.0,모터 과열,A라인
DT-00196,2024-03-18,EQ-A01,주간,계획정지,2024-03-18 12:26,2024-03-18 13:43,77.0,자재 대기,A라인
DT-00197,2024-03-18,EQ-A02,주간,설비고장,2024-03-18 08:07,2024-03-18 09:56,109.0,스핀들 이상,A라인
DT-00198,2024-03-18,EQ-C04,주간,속도저하,2024-03-18 13:37,2024-03-18 15:23,106.0,절삭유 노후,C라인
DT-00199,2024-03-19,EQ-C02,야간,소정지,2024-03-19 05:44,2024-03-19 05:50,6.0,공구 파손,C라인
DT-00200,2024-03-20,EQ-A02,주간,초기불량,2024-03-20 12:10,2024-03-20 12:45,,소재 불량,A라인
DT-00201,2024-03-20,EQ-A04,야간,소정지,2024-03-20 05:56,2024-03-20 06:11,15.0,소재 걸림,A라인
DT-00202,2024-03-20,EQ-C02,주간,속도저하,2024-03-20 08:17,2024-03-20 09:08,51.0,냉각 부족,C라인
DT-00203,2024-03-20,EQ-C02,주간,셋업/조정,2024-03-20 12:18,2024-03-20 12:39,21.0,프로그램 변경,C라인
DT-00204,2024-03-21,EQ-B01,주간,소정지,2024-03-21 10:48,2024-03-21 10:57,9.0,칩 막힘,B라인
DT-00205,2024-03-22,EQ-A04,야간,설비고장,2024-03-22 03:52,2024-03-22 06:47,175.0,베어링 마모,A라인
DT-00206,2024-03-22,EQ-C03,야간,초기불량,2024-03-22 03:06,2024-03-22 03:33,27.0,소재 불량,C라인
DT-00207,2024-03-23,EQ-A02,주간,소정지,2024-03-23 08:08,2024-03-23 08:25,17.0,센서 오감지,A라인
DT-00208,2024-03-23,EQ-A02,야간,소정지,2024-03-23 04:21,2024-03-23 04:27,6.0,센서 오감지,A라인
DT-00209,2024-03-23,EQ-B02,주간,계획정지,2024-03-23 11:09,2024-03-23 12:59,110.0,점검,B라인
DT-00210,2024-03-23,EQ-C04,주간,소정지,2024-03-23 14:29,2024-03-23 14:43,14.0,소재 걸림,C라인
DT-00211,2024-03-25,EQ-A01,주간,계획정지,2024-03-25 08:30,2024-03-25 10:00,90.0,예방정비,A라인
DT-00212,2024-03-26,EQ-A01,주간,셋업/조정,2024-03-26 15:56,2024-03-26 16:22,26.0,프로그램 변경,A라인
DT-00213,2024-03-26,EQ-A02,야간,계획정지,2024-03-26 00:45,2024-03-26 02:19,94.0,금형 예열,A라인
DT-00214,2024-03-26,EQ-A03,주간,셋업/조정,2024-03-26 10:54,2024-03-26 11:31,37.0,금형 교체,A라인
