maintenance_id,date,equipment_id,maintenance_type,description,cause,duration_hours,cost_won,parts_replaced,technician_id
MT-00029,2024-01-22,EQ-B03,INS,주간점검 - 전류측정,전류측정,1.0,31000,,TECH-01
MT-00030,2024-01-22,EQ-C04,INS,주간점검 - 진동측정,진동측정,1.0,37000,,TECH-04
MT-00031,2024-01-29,EQ-A01,INS,주간점검 - 진동측정,진동측정,2.0,14000,,TECH-04
MT-00032,2024-01-29,EQ-A03,INS,주간점검 - 진동측정,진동측정,1.0,16000,,TECH-08
MT-00033,2024-01-29,EQ-B02,INS,주간점검 - 진동측정,진동측정,1.0,16000,,TECH-05
MT-00034,2024-01-29,EQ-B03,INS,주간점검 - 일상점검,일상점검,1.0,17000,,TECH-02
MT-00035,2024-01-29,EQ-B04,INS,주간점검 - 전류측정,전류측정,2.0,45000,,TECH-04
MT-00036,2024-01-29,EQ-C01,INS,주간점검 - 진동측정,진동측정,1.0,36000,,TECH-03
MT-00037,2024-01-29,EQ-C02,INS,주간점검 - 진동측정,진동측정,1.0,15000,,TECH-06
MT-00038,2024-01-30,EQ-B04,BM,사후보전 - 볼트조임,볼트조임,1.0,46000,씰,TECH-06
MT-00039,2024-02-05,EQ-A03,INS,주간점검 - 온도측정,온도측정,2.0,45000,,TECH-03
MT-00040,2024-02-05,EQ-B03,INS,주간점검 - 전류측정,전류측정,2.0,29000,,TECH-04
MT-00041,2024-02-05,EQ-C01,INS,주간점검 - 전류측정,전류측정,1.0,16000,,TECH-03
MT-00042,2024-02-05,EQ-C04,INS,주간점검 - 일상점검,일상점검,2.0,38000,,TECH-03
MT-00043,2024-02-10,EQ-C02,PM,예방정비 - 오일교환,오일교환,5.0,75000,,TECH-07
MT-00044,2024-02-12,EQ-B01,INS,주간점검 - 온도측정,온도측정,2.0,46000,,TECH-04
MT-00045,2024-02-12,EQ-B02,INS,주간점검 - 일상점검,일상점검,1.0,24000,,TECH-06
MT-00046,2024-02-12,EQ-B04,INS,주간점검 - 온도측정,온도측정,1.0,30000,,TECH-06
MT-00047,2024-02-12,EQ-C01,INS,주간점검 - 전류측정,전류측정,1.0,37000,,TECH-06
MT-00048,2024-02-14,EQ-A04,CM,고장수리 - 모터과열,모터과열,46.0,1057000,필터,TECH-05
MT-00049,2024-02-15,EQ-B01,PM,예방정비 - 냉각수교환,냉각수교환,5.0,354000,냉각수,TECH-08
MT-00050,2024-02-17,EQ-C01,BM,사후보전 - 윤활,윤활,3.0,124000,벨트,TECH-06
MT-00051,2024-02-19,EQ-A01,INS,주간점검 - 일상점검,일상점검,1.0,45000,,TECH-04
MT-00052,2024-02-19,EQ-B01,INS,주간점검 - 진동측정,진동측정,1.0,26000,,TECH-05
MT-00053,2024-02-19,EQ-B03,INS,주간점검 - 일상점검,일상점검,2.0,14000,,TECH-06
MT-00054,2024-02-19,EQ-B04,INS,주간점검 - 진동측정,진동측정,1.0,39000,,TECH-03
MT-00055,2024-02-19,EQ-C01,INS,주간점검 - 전류측정,전류측정,1.0,12000,,TECH-03
MT-00056,2024-02-19,EQ-C02,INS,주간점검 - 일상점검,일상점검,2.0,36000,,TECH-02
MT-00057,2024-02-19,EQ-C03,INS,주간점검 - 진동측정,진동측정,2.0,24000,,TECH-05
MT-00058,2024-02-19,EQ-C04,INS,주간점검 - 온도측정,온도측정,2.0,13000,,TECH-01
MT-00059,2024-02-20,EQ-A03,BM,사후보전 - 소모품교체,소모품교체,2.0,79000,볼트,TECH-02
MT-00060,2024-02-26,EQ-A02,INS,주간점검 - 온도측정,온도측정,1.0,33000,,TECH-05
MT-00061,2024-02-26,EQ-A03,INS,주간점검 - 진동측정,진동측정,2.0,33000,,TECH-05
MT-00062,2024-02-26,EQ-B02,INS,주간점검 - 온도측정,온도측정,2.0,46000,,TECH-04
MT-00063,2024-02-26,EQ-B04,INS,주간점검 - 일상점검,일상점검,1.0,11000,,TECH-07
MT-00064,2024-02-26,EQ-C01,INS,주간점검 - 전류측정,전류측정,1.0,38000,,TECH-05
MT-00065,2024-02-26,EQ-C02,INS,주간점검 - 온도측정,온도측정,1.0,49000,,TECH-06
MT-00066,2024-02-26,EQ-C03,INS,주간점검 - 진동측정,진동측정,2.0,11000,,TECH-05
MT-00067,2024-02-26,EQ-C04,INS,주간점검 - 전류측정,전류측정,1.0,43000,,TECH-01
MT-00068,2024-02-27,EQ-A02,CM,고장수리 - 냉각계통이상,냉각계통이상,10.0,418000,볼트,TECH-03
MT-00069,2024-03-01,EQ-C04,BM,사후보전 - 소모품교체,,2.0,57000,,TECH-07
MT-00070,2024-03-04,EQ-A01,INS,주간점검 - 전류측정,전류측정,2.0,33000,,TECH-06
MT-00071,2024-03-04,EQ-A02,BM,사후보전 - 소모품교체,소모품교체,1.0,115000,,TECH-05
MT-00072,2024-03-04,EQ-A03,INS,주간점검 - 일상점검,일상점검,2.0,33000,,TECH-02
MT-00073,2024-03-04,EQ-A04,INS,주간점검 - 전류측정,전류측정,1.0,42000,,TECH-08
MT-00074,2024-03-04,EQ-B02,INS,주간점검 - 온도측정,온도측정,1.0,36000,,TECH-02
MT-00075,2024-03-04,EQ-C01,INS,주간점검 - 온도측정,온도측정,2.0,32000,,TECH-02
MT-00076,2024-03-04,EQ-C02,INS,주간점검 - 온도측정,온도측정,1.0,19000,,TECH-06
MT-00077,2024-03-04,EQ-C04,INS,주간점검 - 일상점검,일상점검,1.0,46000,,TECH-03
MT-00078,2024-03-05,EQ-C02,BM,사후보전 - 윤활,윤활,3.0,96000,벨트,TECH-02
MT-00079,2024-03-06,EQ-A01,CM,고장수리 - 센서고장,센서고장,43.0,1132000,오일,TECH-08
MT-00080,2024-03-11,EQ-A01,INS,주간점검 - 일상점검,일상점검,2.0,45000,,TECH-06
MT-00081,2024-03-11,EQ-A02,INS,주간점검 - 온도측정,온도측정,2.0,43000,,TECH-05
MT-00082,2024-03-11,EQ-A04,INS,주간점검 - 일상점검,일상점검,1.0,33000,,TECH-01
MT-00083,2024-03-11,EQ-B03,INS,주간점검 - 일상점검,일상점검,1.0,40000,,TECH-05
MT-00084,2024-03-11,EQ-B04,INS,주간점검 - 온도측정,온도측정,2.0,29000,,TECH-07
MT-00085,2024-03-11,EQ-C01,INS,주간점검 - 일상점검,일상점검,1.0,37000,,TECH-03
MT-00086,2024-03-11,EQ-C02,INS,주간점검 - 온도측정,온도측정,2.0,13000,,TECH-06
MT-00087,2024-03-12,EQ-A01,PM,예방정비 - 베어링교환,베어링교환,5.0,378000,벨트,TECH-03
MT-00088,2024-03-14,EQ-A02,BM,사후보전 - 볼트조임,볼트조임,2.0,149000,볼트,TECH-04
MT-00089,2024-03-18,EQ-A01,INS,주간점검 - 온도측정,온도측정,1.0,39000,,TECH-01
MT-00090,2024-03-18,EQ-A03,INS,주간점검 - 전류측정,전류측정,1.0,28000,,TECH-08
MT-00091,2024-03-18,EQ-B01,INS,주간점검 - 전류측정,전류측정,1.0,44000,,TECH-03
MT-00092,2024-03-18,EQ-B03,INS,주간점검 - 진동측정,진동측정,2.0,17000,,TECH-04
MT-00093,2024-03-18,EQ-B04,INS,주간점검 - 일상점검,일상점검,2.0,31000,,TECH-07
MT-00094,2024-03-18,EQ-C01,INS,주간점검 - 온도측정,온도측정,2.0,24000,,TECH-03
MT-00095,2024-03-18,EQ-C03,INS,주간점검 - 일상점검,일상점검,1.0,30000,,TECH-05
MT-00096,2024-03-18,EQ-C04,INS,주간점검 - 온도측정,온도측정,2.0,11000,,TECH-04
MT-00097,2024-03-20,EQ-A03,PM,정기 예방정비 - 정기점검,정기점검,2.0,279000,베어링,TECH-03
MT-00098,2024-03-21,EQ-A01,CM,고장수리 - 기어손상,기어손상,25.0,256000,필터,TECH-01
MT-00099,2024-03-25,EQ-A02,INS,주간점검 - 일상점검,일상점검,2.0,29000,,TECH-06
MT-00100,2024-03-25,EQ-A03,INS,주간점검 - 전류측정,전류측정,1.0,48000,,TECH-05
MT-00101,2024-03-25,EQ-B01,INS,주간점검 - 전류측정,전류측정,1.0,48000,,TECH-01
MT-00102,2024-03-25,EQ-B02,INS,주간점검 - 일상점검,일상점검,2.0,38000,,TECH-05
MT-00103,2024-03-25,EQ-B03,INS,주간점검 - 진동측정,진동측정,1.0,17000,,TECH-01
MT-00104,2024-03-25,EQ-B04,INS,주간점검 - 진동측정,진동측정,2.0,47000,,TECH-06
MT-00105,2024-04-01,EQ-A01,INS,주간점검 - 진동측정,진동측정,2.0,27000,,TECH-05
MT-00106,2024-04-01,EQ-A02,INS,주간점검 - 온도측정,온도측정,2.0,38000,,TECH-01
MT-00107,2024-04-01,EQ-B01,INS,주간점검 - 진동측정,진동측정,2.0,35000,,TECH-02
MT-00108,2024-04-01,EQ-B03,INS,주간점검 - 진동측정,진동측정,1.0,19000,,TECH-01
MT-00109,2024-04-01,EQ-B04,INS,주간점검 - 진동측정,진동측정,1.0,21000,,TECH-04
MT-00110,2024-04-01,EQ-C01,INS,주간점검 - 진동측정,진동측정,2.0,22000,,TECH-08
MT-00111,2024-04-01,EQ-C02,INS,주간점검 - 진동측정,진동측정,1.0,45000,,TECH-02
MT-00112,2024-04-01,EQ-C03,INS,주간점검 - 일상점검,일상점검,2.0,27000,,TECH-04
MT-00113,2024-04-01,EQ-C04,INS,주간점검 - 진동측정,진동측정,1.0,16000,,TECH-02
MT-00114,2024-04-05,EQ-A03,CM,고장수리 - 전기접촉불량,전기접촉불량,12.0,1915000,필터,TECH-06
MT-00115,2024-04-05,EQ-B02,CM,고장수리 - 스핀들이상,스핀들이상,16.0,1026000,베어링,TECH-04
MT-00116,2024-04-08,EQ-A02,INS,주간점검 - 진동측정,진동측정,2.0,31000,,TECH-06
MT-00117,2024-04-08,EQ-A04,PM,정기 예방정비 - 베어링교환,베어링교환,7.0,270000,필터,TECH-04
MT-00118,2024-04-08,EQ-B02,INS,주간점검 - 온도측정,온도측정,2.0,17000,,TECH-04
MT-00119,2024-04-08,EQ-B04,INS,주간점검 - 온도측정,온도측정,2.0,11000,,TECH-06
MT-00120,2024-04-08,EQ-C01,INS,주간점검 - 진동측정,진동측정,1.0,34000,,TECH-08
MT-00121,2024-04-08,EQ-C04,INS,주간점검 - 온도측정,온도측정,2.0,10000,,TECH-07
MT-00122,2024-04-09,EQ-C01,PM,정기 예방정비 - 정기점검,정기점검,2.0,186000,필터,TECH-03
MT-00123,2024-04-10,EQ-A04,BM,사후보전 - 볼트조임,볼트조임,3.0,59000,,TECH-01
MT-00124,2024-04-10,EQ-C03,PM,정기 예방정비 - 필터교환,필터교환,7.0,269000,벨트,TECH-03
MT-00125,2024-04-10,EQ-C03,BM,사후보전 - 볼트조임,볼트조임,1.0,89000,베어링,TECH-07
MT-00126,2024-04-15,EQ-A02,INS,주간점검 - 전류측정,전류측정,2.0,42000,,TECH-02
MT-00127,2024-04-15,EQ-A03,CM,고장수리 - 냉각계통이상,냉각계통이상,18.0,1400000,씰,TECH-08
MT-00128,2024-04-15,EQ-B01,INS,주간점검 - 진동측정,진동측정,2.0,22000,,TECH-02
MT-00129,2024-04-15,EQ-B02,INS,주간점검 - 온도측정,온도측정,2.0,32000,,TECH-03
MT-00130,2024-04-15,EQ-B03,INS,주간점검 - 일상점검,일상점검,2.0,37000,,TECH-06
MT-00131,2024-04-15,EQ-C01,INS,주간점검 - 일상점검,일상점검,1.0,14000,,TECH-01
MT-00132,2024-04-15,EQ-C04,INS,주간점검 - 일상점검,일상점검,2.0,48000,,TECH-05
MT-00133,2024-04-18,EQ-A03,PM,예방정비 - 정기점검,정기점검,2.0,292000,,TECH-05
MT-00134,2024-04-20,EQ-A01,BM,사후보전 - 청소,청소,2.0,107000,벨트,TECH-03
MT-00135,2024-04-20,EQ-B01,BM,사후보전 - 윤활,윤활,2.0,112000,볼트,TECH-02
MT-00136,2024-04-22,EQ-A03,INS,주간점검 - 진동측정,진동측정,1.0,49000,,TECH-01
MT-00137,2024-04-22,EQ-B01,INS,주간점검 - 온도측정,온도측정,1.0,23000,,TECH-03
MT-00138,2024-04-22,EQ-B04,INS,주간점검 - 온도측정,온도측정,1.0,11000,,TECH-06
MT-00139,2024-04-22,EQ-C01,INS,주간점검 - 온도측정,온도측정,2.0,15000,,TECH-04
MT-00140,2024-04-22,EQ-C02,INS,주간점검 - 일상점검,일상점검,1.0,27000,,TECH-02
MT-00141,2024-04-22,EQ-C04,INS,주간점검 - 전류측정,전류측정,2.0,16000,,TECH-03
MT-00142,2024-04-25,EQ-A02,BM,사후보전 - 소모품교체,소모품교체,2.0,120000,씰,TECH-05
MT-00143,2024-04-29,EQ-A04,INS,주간점검 - 일상점검,일상점검,2.0,40000,,TECH-03
MT-00144,2024-04-29,EQ-B02,INS,주간점검 - 진동측정,진동측정,2.0,44000,,TECH-06
MT-00145,2024-04-29,EQ-B03,INS,주간점검 - 진동측정,진동측정,1.0,11000,,TECH-07
MT-00146,2024-04-29,EQ-B04,INS,주간점검 - 진동측정,진동측정,2.0,43000,,TECH-07
MT-00147,2024-04-30,EQ-B03,PM,정기 예방정비 - 벨트교환,벨트교환,7.0,397000,오일,TECH-05
MT-00148,2024-05-01,EQ-A02,PM,정기 예방정비 - 오일교환,오일교환,3.0,362000,필터,TECH-04
MT-00149,2024-05-04,EQ-A03,BM,사후보전 - 소모품교체,소모품교체,2.0,137000,베어링,TECH-01
MT-00150,2024-05-04,EQ-C04,PM,정기 예방정비 - 냉각수교환,냉각수교환,4.0,216000,필터,TECH-05
MT-00151,2024-05-06,EQ-A02,INS,주간점검 - 진동측정,진동측정,2.0,29000,,TECH-02
MT-00152,2024-05-06,EQ-A03,INS,주간점검 - 일상점검,일상점검,2.0,20000,,TECH-07
MT-00153,2024-05-06,EQ-B01,INS,주간점검 - 전류측정,전류측정,1.0,29000,,TECH-07
MT-00154,2024-05-06,EQ-B02,INS,주간점검 - 전류측정,전류측정,1.0,20000,,TECH-03
MT-00155,2024-05-06,EQ-B03,INS,주간점검 - 온도측정,온도측정,1.0,27000,,TECH-05
MT-00156,2024-05-06,EQ-C01,INS,주간점검 - 진동측정,진동측정,1.0,13000,,TECH-06
MT-00157,2024-05-06,EQ-C02,INS,주간점검 - 온도측정,온도측정,1.0,41000,,TECH-01
MT-00158,2024-05-10,EQ-A03,BM,사후보전 - 소모품교체,소모품교체,3.0,95000,벨트,TECH-05
MT-00159,2024-05-11,EQ-C02,CM,고장수리 - 냉각계통이상,냉각계통이상,33.0,1529000,벨트,TECH-04
MT-00160,2024-05-13,EQ-A01,INS,주간점검 - 진동측정,진동측정,2.0,44000,,TECH-08
MT-00161,2024-05-13,EQ-A02,INS,주간점검 - 진동측정,진동측정,1.0,12000,,TECH-04
MT-00162,2024-05-13,EQ-B03,INS,주간점검 - 진동측정,진동측정,2.0,25000,,TECH-05
MT-00163,2024-05-13,EQ-B04,INS,주간점검 - 일상점검,일상점검,1.0,40000,,TECH-05
MT-00164,2024-05-13,EQ-C03,INS,주간점검 - 온도측정,온도측정,1.0,24000,,TECH-01
MT-00165,2024-05-14,EQ-B01,BM,사후보전 - 볼트조임,볼트조임,3.0,43000,벨트,TECH-07
MT-00166,2024-05-15,EQ-A01,BM,사후보전 - 소모품교체,소모품교체,1.0,31000,벨트,TECH-02
MT-00167,2024-05-15,EQ-B01,PM,예방정비 - 필터교환,필터교환,4.0,271000,벨트,TECH-06
MT-00168,2024-05-15,EQ-B01,PM,정기 예방정비 - 필터교환,필터교환,2.0,215000,베어링,TECH-02
MT-00169,2024-05-20,EQ-A02,INS,주간점검 - 전류측정,전류측정,2.0,32000,,TECH-03
MT-00170,2024-05-20,EQ-A03,INS,주간점검 - 전류측정,전류측정,1.0,21000,,TECH-06
MT-00171,2024-05-20,EQ-B02,PM,정기 예방정비 - 벨트교환,벨트교환,3.0,283000,오일,TECH-03
MT-00172,2024-05-20,EQ-B03,INS,주간점검 - 전류측정,전류측정,1.0,47000,,TECH-06
MT-00173,2024-05-20,EQ-B04,INS,주간점검 - 일상점검,일상점검,2.0,31000,,TECH-05
MT-00174,2024-05-20,EQ-C01,INS,주간점검 - 전류측정,전류측정,2.0,33000,,TECH-06
MT-00175,2024-05-20,EQ-C02,CM,고장수리 - 모터과열,모터과열,32.0,930000,씰,TECH-08
MT-00176,2024-05-20,EQ-C04,INS,주간점검 - 진동측정,진동측정,2.0,13000,,TECH-06
MT-00177,2024-05-21,EQ-A04,BM,사후보전 - 소모품교체,소모품교체,,51000,볼트,TECH-07
MT-00178,2024-05-22,EQ-A04,CM,고장수리 - 스핀들이상,스핀들이상,5.0,1396000,볼트,TECH-03
MT-00179,2024-05-22,EQ-C02,PM,예방정비 - 냉각수교환,냉각수교환,2.0,233000,오일,TECH-07
MT-00180,2024-05-24,EQ-B04,PM,정기 예방정비 - 냉각수교환,냉각수교환,7.0,129000,벨트,TECH-07
MT-00181,2024-05-27,EQ-A01,INS,주간점검 - 전류측정,전류측정,1.0,34000,,TECH-08
MT-00182,2024-05-27,EQ-A02,INS,주간점검 - 전류측정,전류측정,2.0,21000,,TECH-04
MT-00183,2024-05-27,EQ-B01,INS,주간점검 - 일상점검,일상점검,1.0,17000,,TECH-05
MT-00184,2024-05-27,EQ-B02,INS,주간점검 - 진동측정,진동측정,1.0,33000,,TECH-01
MT-00185,2024-05-27,EQ-B03,INS,주간점검 - 일상점검,일상점검,1.0,46000,,TECH-08
MT-00186,2024-05-27,EQ-C02,INS,주간점검 - 일상점검,일상점검,1.0,22000,,TECH-02
MT-00187,2024-05-27,EQ-C03,INS,주간점검 - 진동측정,진동측정,2.0,20000,,TECH-02
MT-00188,2024-05-31,EQ-B03,BM,사후보전 - 청소,청소,1.0,91000,베어링,TECH-08
MT-00189,2024-06-03,EQ-A01,INS,주간점검 - 일상점검,일상점검,1.0,44000,,TECH-06
MT-00190,2024-06-03,EQ-A03,INS,주간점검 - 전류측정,전류측정,1.0,32000,,TECH-03
MT-00191,2024-06-03,EQ-A04,INS,주간점검 - 전류측정,전류측정,1.0,18000,,TECH-04
MT-00192,2024-06-03,EQ-B03,INS,주간점검 - 진동측정,진동측정,2.0,38000,,TECH-07
MT-00193,2024-06-03,EQ-B04,INS,주간점검 - 온도측정,온도측정,1.0,23000,,TECH-04
MT-00194,2024-06-03,EQ-C02,INS,주간점검 - 전류측정,전류측정,1.0,34000,,TECH-08
MT-00195,2024-06-03,EQ-C04,INS,주간점검 - 일상점검,일상점검,2.0,28000,,TECH-07
MT-00196,2024-06-04,EQ-A03,BM,사후보전 - 볼트조임,볼트조임,1.0,68000,벨트,TECH-08
MT-00197,2024-06-06,EQ-A04,BM,사후보전 - 볼트조임,볼트조임,2.0,60000,,TECH-04
MT-00198,2024-06-07,EQ-B04,BM,사후보전 - 윤활,윤활,2.0,119000,필터,TECH-07
MT-00199,2024-06-10,EQ-A01,INS,주간점검 - 전류측정,전류측정,2.0,12000,,TECH-01
MT-00200,2024-06-10,EQ-A02,INS,주간점검 - 전류측정,전류측정,2.0,17000,,TECH-03
MT-00201,2024-06-10,EQ-B01,INS,주간점검 - 일상점검,일상점검,2.0,39000,,TECH-08
MT-00202,2024-06-10,EQ-B03,INS,주간점검 - 진동측정,진동측정,2.0,26000,,TECH-07
MT-00203,2024-06-10,EQ-B04,INS,주간점검 - 전류측정,전류측정,2.0,20000,,TECH-01
MT-00204,2024-06-10,EQ-C02,INS,주간점검 - 진동측정,진동측정,2.0,41000,,TECH-01
MT-00205,2024-06-10,EQ-C03,INS,주간점검 - 일상점검,일상점검,1.0,36000,,TECH-01
MT-00206,2024-06-10,EQ-C04,INS,주간점검 - 온도측정,온도측정,1.0,38000,,TECH-06
MT-00207,2024-06-12,EQ-A01,CM,고장수리 - 센서고장,센서고장,38.0,1620000,씰,TECH-04
MT-00208,2024-06-17,EQ-A01,INS,주간점검 - 온도측정,온도측정,2.0,46000,,TECH-06
MT-00209,2024-06-17,EQ-A03,INS,주간점검 - 전류측정,전류측정,1.0,48000,,TECH-05
MT-00210,2024-06-17,EQ-A04,INS,주간점검 - 온도측정,온도측정,2.0,32000,,TECH-02
MT-00211,2024-06-17,EQ-B02,INS,주간점검 - 온도측정,온도측정,1.0,25000,,TECH-07
MT-00212,2024-06-17,EQ-B04,INS,주간점검 - 온도측정,온도측정,1.0,13000,,TECH-05
MT-00213,2024-06-17,EQ-C01,INS,주간점검 - 진동측정,진동측정,2.0,13000,,TECH-07
MT-00214,2024-06-17,EQ-C02,INS,주간점검 - 진동측정,진동측정,1.0,15000,,TECH-07
MT-00215,2024-06-17,EQ-C03,INS,주간점검 - 온도측정,온도측정,2.0,33000,,TECH-04
MT-00216,2024-06-17,EQ-C04,INS,주간점검 - 전류측정,전류측정,2.0,35000,,TECH-06
MT-00217,2024-06-20,EQ-B01,BM,사후보전 - 소모품교체,소모품교체,3.0,35000,벨트,TECH-02
MT-00218,2024-06-22,EQ-B01,BM,사후보전 - 청소,청소,2.0,100000,필터,TECH-03
MT-00219,2024-06-24,EQ-A02,INS,주간점검 - 온도측정,온도측정,1.0,37000,,TECH-02
MT-00220,2024-06-24,EQ-A03,INS,주간점검 - 진동측정,진동측정,2.0,35000,,TECH-07
MT-00221,2024-06-24,EQ-B01,INS,주간점검 - 진동측정,진동측정,1.0,48000,,TECH-02
MT-00222,2024-06-24,EQ-B02,INS,주간점검 - 진동측정,진동측정,2.0,38000,,TECH-02
MT-00223,2024-06-24,EQ-B03,INS,주간점검 - 일상점검,일상점검,2.0,49000,,TECH-02
MT-00224,2024-06-24,EQ-B04,INS,주간점검 - 온도측정,온도측정,1.0,30000,,TECH-01
MT-00225,2024-06-24,EQ-C02,INS,주간점검 - 일상점검,일상점검,1.0,13000,,TECH-01
MT-00226,2024-06-24,EQ-C03,INS,주간점검 - 진동측정,진동측정,2.0,37000,,TECH-02
MT-00227,2024-06-25,EQ-A01,BM,사후보전 - 윤활,윤활,2.0,144000,베어링,TECH-03
MT-00228,2024-06-25,EQ-C02,BM,사후보전 - 볼트조임,볼트조임,2.0,37000,오일,TECH-08
MT-00229,2024-06-28,EQ-A03,CM,고장수리 - 냉각계통이상,냉각계통이상,23.0,424000,,TECH-06
MT-00230,2024-06-29,EQ-B03,PM,정기 예방정비 - 필터교환,필터교환,2.0,334000,오일,TECH-04
